epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4349.07,0.90594,0.8472,1.23022,0.89499,0.88328,0.95034,0.80801,0.70039,0.53875,1.0646,0.00043783,0.00043783,0.00043783
89,4397.91,0.89093,0.82129,1.22026,0.91011,0.89563,0.95317,0.80721,0.72319,0.51963,1.08053,0.000434024,0.000434024,0.000434024
90,4447.44,0.88583,0.81501,1.21903,0.92155,0.87735,0.94911,0.7991,0.73545,0.53918,1.07657,0.000430217,0.000430217,0.000430217
91,4496.73,0.89825,0.81807,1.21893,0.89149,0.89768,0.9505,0.80824,0.70337,0.53849,1.07295,0.000426411,0.000426411,0.000426411
92,4546.07,0.89358,0.81371,1.22319,0.90635,0.89289,0.95079,0.81117,0.69538,0.52123,1.06577,0.000422604,0.000422604,0.000422604
93,4595.24,0.87865,0.81318,1.21192,0.90824,0.88214,0.95053,0.81568,0.67982,0.51653,1.05634,0.000418797,0.000418797,0.000418797
94,4644.71,0.89904,0.82733,1.2247,0.9171,0.88222,0.95292,0.8078,0.70715,0.51876,1.06791,0.000414991,0.000414991,0.000414991
95,4693.64,0.88011,0.80305,1.21822,0.92511,0.89144,0.9566,0.81659,0.70896,0.5164,1.05989,0.000411184,0.000411184,0.000411184
96,4742.77,0.88622,0.81402,1.21556,0.91412,0.89142,0.9542,0.81234,0.69783,0.50696,1.06024,0.000407378,0.000407378,0.000407378
97,4791.81,0.88161,0.80725,1.21024,0.92133,0.87549,0.9495,0.82101,0.66633,0.52555,1.03908,0.000403571,0.000403571,0.000403571
98,4841.2,0.86737,0.79152,1.20346,0.91211,0.88341,0.94936,0.81449,0.68112,0.52005,1.05009,0.000399765,0.000399765,0.000399765
99,4890.48,0.87294,0.79003,1.20572,0.91814,0.89338,0.95422,0.8157,0.69554,0.51476,1.05875,0.000395958,0.000395958,0.000395958
100,4939.36,0.87469,0.79571,1.20581,0.92261,0.88091,0.95236,0.82148,0.65508,0.52137,1.04456,0.000392152,0.000392152,0.000392152
101,4988.5,0.87386,0.77899,1.2023,0.92842,0.88077,0.95298,0.82379,0.66074,0.5202,1.04615,0.000388345,0.000388345,0.000388345
102,5037.73,0.87092,0.78908,1.20283,0.92953,0.88252,0.95471,0.81796,0.69088,0.50983,1.04912,0.000384538,0.000384538,0.000384538
103,5087.15,0.88556,0.80737,1.21912,0.91775,0.88352,0.95184,0.82481,0.64972,0.51412,1.04193,0.000380732,0.000380732,0.000380732
104,5136.46,0.87668,0.79317,1.20976,0.92589,0.86439,0.95378,0.82307,0.66525,0.50858,1.04322,0.000376925,0.000376925,0.000376925
105,5185.65,0.86621,0.77741,1.20122,0.91659,0.89059,0.95582,0.82535,0.66851,0.50586,1.04373,0.000373119,0.000373119,0.000373119
106,5234.94,0.87309,0.78872,1.20717,0.90408,0.9026,0.95258,0.82423,0.65969,0.5093,1.04584,0.000369312,0.000369312,0.000369312
107,5284.19,0.86493,0.79385,1.20051,0.92209,0.88968,0.95689,0.83991,0.62001,0.49046,1.0229,0.000365506,0.000365506,0.000365506
108,5333.44,0.88188,0.79539,1.21081,0.91845,0.88804,0.95634,0.82028,0.68425,0.50818,1.04839,0.000361699,0.000361699,0.000361699
109,5382.68,0.86865,0.78077,1.20754,0.90345,0.8926,0.95572,0.82433,0.66282,0.50079,1.03795,0.000357893,0.000357893,0.000357893
110,5431.9,0.86274,0.7755,1.20171,0.90034,0.90539,0.9571,0.8372,0.6284,0.49164,1.03167,0.000354086,0.000354086,0.000354086
111,5481.01,0.86249,0.77131,1.2045,0.92295,0.88362,0.95378,0.8285,0.64302,0.49311,1.03711,0.00035028,0.00035028,0.00035028
